,Man,Modules,Running Status,Module Comment,old
819,MikroElektronika,MikroElektronika,Regular Running,------,
820,Miles-Platts,MILES - PLATTS,Regular Running,,
821,MilesTek,MilesTek,Regular Running,------,
822,Military-Fasteners,Military-Fasteners,Regular Running,------,
823,Milwaukee Tool,Milwaukee Electric Tool,Regular Running,------,
824,Mini-Circuits,Mini-Circuits_LC,Regular Running,------,
825,Minor Rubber,Minor Rubber,Regular Running,------,
826,Misco/Minneapolis Speaker Company Inc,Misco_Minneapolis Speaker Company Inc,Regular Running,------,
827,Mitutoyo,Mitutoyo,Regular Running,------,
828,Mode Electronics Ltd,Mode Electronics,Regular Running,Proxy issue,
829,Monnit Corporation,Monnit Corporation,Regular Running,,
830,Monolithic Power Systems,Monolithic Power Systems,Regular Running,------,
831,Monroe Engineering LLC,Monroe Engineering LLC,Regular Running,------,
832,MOONS INDUSTRIES,MOONS INDUSTRIES,Regular Running,------,
833,Morton Machine Works,Morton Machine Works,Regular Running,------,
834,Mospec Semiconductor,Mospec Semiconductor,Regular Running,------,
835,MPE-Garry GmbH,MPE Garry GmbH,Regular Running,------,
836,MTE Corporation,MTE Corporation,Regular Running,------,
837,Mueller Electric,Mueller Electric Company,Regular Running,------,
838,Mueller Industries,Mueller Industries,Regular Running,------,
839,"Multi-Tech Systems, Inc",Multi-Tech Systems,Regular Running,,
840,Murrelektronik GmbH,Murrelektronik GmbH,Regular Running,------,
841,Myrra,Myrra,Regular Running,Proxy Issue,
842,Nanotec Electronic GmbH & Co. KG,Nanotec Electronic GmbH & Co. KG,Regular Running,------,
843,NanoWorld AG,NanoWorld AG,Regular Running,------,
844,Nanya Technology,Nanya Technology,Regular Running,------,
845,"Sharp NEC Display Solutions, Ltd",NEC Display Solutions,Regular Running,------,
846,Neosid Pemetzrieder GmbH & Co. KG,Neosid Pemetzrieder GmbH & Co. KG,Regular Running,------,
847,NetBurner,NetBurner,Regular Running,------,
848,Network Technologies Inc,Network Technologies Inc,Regular Running,------,
849,Neutrik Group,Neutrik Group,Regular Running,------,
850,Neutrik Group,Neutrik Group_2,Regular Running,------,
851,New Jersey Semiconductor,New Jersey Semi-Conductor,Regular Running,,
852,"Newhaven Display International, Inc",Newhaven Display,Regular Running,,
853,Newport Corporation,Newport,Regular Running,------,
854,Nextronics Engineering,Nextronics Engineering,Regular Running,,
855,NICHIA CORPORATION,NICHIA CORPORATION,Regular Running,------,
856,Nichicon,Nichicon,Regular Running,------,
857,NICHIFU,NICHIFU,Regular Running,------,
858,Niedax GmbH & Co. KG,Niedax GmbH & Co. KG,Regular Running,------,
859,Nielsen Hardware Corporation,Nielsen Hardware Corporation,Regular Running,,
860,"NIKO SEMICONDUCTOR CO., LTD",NIKO SEMICONDUCTOR CO_LTD,Regular Running,------,
861,NIX INC,NIX INC,Regular Running,------,
862,NKK Switches,NKK Switches,Regular Running,------,
863,NMB Technologies Corporation,NMB Technologies Corporation,Regular Running,------,
864,Nor-Cal Products,Nor-Cal Products,Regular Running,------,
865,Nordic Semiconductor,Nordic Semiconductor,Regular Running,------,
866,Nord-Lock International AB,Nord-Lock International AB,Regular Running,------,
867,norelem Normelemente GmbH & Co. KG,norelem Normelemente KG,Regular Running,,
868,Norgren,Norgren,Regular Running,,
869,Noritake,Noritake,Regular Running,,
870,NORRES Schlauchtechnik GmbH,NORRES Schlauchtechnik GmbH,Regular Running,------,
871,Northwestern Tools,Northwestern Tools,Regular Running,------,
872,"Novus Biologicals, LLC",Novus Biologicals_LLC,Regular Running,------,
873,"NSi Industries, LLC",NSi Industries_LLC,Regular Running,------,
874,Nuvoton Technology Corporation,Nuvoton Technology,Regular Running,Useless,
875,NVE Corporation,NVE Corporation,Regular Running,------,
876,nVent,nVent_Schroff,Regular Running,Waiting Time,
877,OBO BETTERMANN,OBO BETTERMANN,Regular Running,------,
878,ODU GmbH & Co. KG,ODU GmbH & Co. KG,Regular Running,waiting time issue,
879,OE Solutions,OE Solutions,Regular Running,------,
880,"OFS Fitel, LLC",OFS,Regular Running,------,
881,Ohmite Mfg Co,Ohmite_LC,Regular Running,------,
882,Oki Data Americas,Oki Data Americas,Regular Running,------,
883,OKW Gehaeusesysteme,OKW Enclosures,Regular Running,------,
884,"The Olander Company, Inc",Olander Company,Pending Data Team,Site Updates need new simulation,Regular Running
885,Olympic Wire and Cable,Olympic Wire and Cable,Regular Running,,
886,Omega Engineering,Omega Engineering,Regular Running,------,
887,Omega Shielding Products,Omega Shielding Products,Regular Running,------,
888,"On-Shore Technology, Inc",On-Shore Technology,Regular Running,------,
889,Opto 22,Opto 22,Regular Running,------,
890,Optoway Technology,Optoway Technology,Regular Running,------,
891,Oriental Motor,Oriental Motor,Regular Running,------,
892,Oshino Lamps Limited,Oshino Lamps Limited,Regular Running,------,
893,OZ Optics Ltd,OZ Optics,Regular Running,------,
894,"P1dB, Inc","P1dB, Inc",Regular Running,------,
895,PACE Inc,PACE Inc,Regular Running,------,
896,Pactech,Pactech,Regular Running,------,
897,Pan Pacific,Pan Pacific Incorporated,Regular Running,,
898,Panasonic,Panasonic_Global,Regular Running,------,
899,Panduit,Panduit,Regular Running,------,
900,Parallax Incorporated,Parallax Incorporated,Regular Running,-----,
901,Parker Hannifin,Parker Hannifin,Regular Running,Proxy Issue/waiting time issue,
902,Pasternack Enterprises,Pasternack Enterprises,Pending Data Team,"Proxy Issue, site update need new simulation",Regular Running
903,PBC Linear,PBC Linear,Regular Running,,
904,PCB Piezotronics,PCB Piezotronics,Regular Running,------,
905,PCCables.com INC,PCCables.com INC,Regular Running,,
906,PEAK-System Technik GmbH,PEAK-System Technik GmbH,Regular Running,------,
907,"Pelican Products, Inc","Pelican Products, Inc",Regular Running,,
908,PennEngineering,PennEngineering,Regular Running,Captcha,
909,Pepperl+Fuchs SE,Pepperl+Fuchs,Regular Running,------,
910,Pfannenberg,Pfannenberg,Regular Running,------,
911,"Phihong Technology Co., Ltd",Phihong USA,Schedule Running,,
912,PHOENIX CONTACT,PHOENIX CONTACT_2,Regular Running,,
913,PIC Design,PIC Design,Regular Running,------,
914,Pickering Electronics,Pickering Electronics,Regular Running,,
915,Pickering Interfaces,Pickering Interfaces,Regular Running,,
916,Pilz GmbH & Co. KG,Pilz Automation Safety L.P.,Regular Running,------,
917,"Pingood Enterprise Co., Ltd",Pingood Enterprise,Regular Running,------,
918,Platt Luggage,Platt Luggage,Regular Running,------,
919,Polycase,Polycase,Regular Running,,
920,Polyconn Corporation,Polyconn Corporation,Regular Running,------,
921,Poppelmann GmbH & Co. KG,Poppelmann GmbH & Co. KG,Regular Running,------,
922,Porvair Sciences Limited,Porvair Sciences Limited,Regular Running,------,
923,Powerbox International AB,Powerbox International AB,Regular Running,------,
924,Powerex,Powerex,Regular Running,------,
925,Powertran Corporation,Powertran Corporation,Regular Running,,
926,PRECI-DIP SA,Preci-Dip Durtal SA,Regular Running,,
927,Precision Castparts Corp,Precision Castparts Corp,Regular Running,------,
928,Prem Magnetics,Prem Magnetics,Regular Running,------,
929,PRETEC,PRETEC,Regular Running,------,
930,"PUI Audio, Inc",Projects Unlimited,Regular Running,------,
931,ProSoft Technology,ProSoft Technology,Regular Running,------,
932,Protek Electronics Corp,Protek Electronics Corp,Regular Running,------,
933,Protex Fasteners,Protex Fasteners,Regular Running,,Regular Running
934,PROTO Industrial Tools,PROTO Industrial Tools,Regular Running,,
935,PTR HARTMANN GmbH,PTR Messtechnik GmbH & Co. KG,Regular Running,------,
936,PULS GmbH,PULS GmbH,Regular Running,------,
937,Pulsar Microwave Corporation,Pulsar Microwave Corporation,Regular Running,------,
938,Pulse Electronics,Pulse Electronics Corporation,Regular Running,------,
939,Pulse Electronics,Pulse Electronics_LC,Regular Running,Based LC approved that rate will decrease,
940,"iNRCORE, LLC","PulseR, LLC",Regular Running,------,
941,"Qorvo, Inc",Qorvo_Inc,Regular Running,------,
942,"Qorvo, Inc",Qorvo_Inc_ECCN,Regular Running,------,
943,"Quabbin Wire & Cable Co., Inc","Quabbin Wire & Cable Co., Inc",Regular Running,,
944,Luxeon Star LEDs,Quadica Developments Inc,Regular Running,,
945,Quadrangle Products,Quadrangle Products,Regular Running,------,
946,Quail Electronics,Quail Electronics,Regular Running,------,
947,Qualcomm (RF360 - A Qualcomm & TDK Joint Venture),Qualcomm (RF360 - A Qualcomm & TDK Joint Venture),Regular Running,------,
948,Qualtek Electronics,Qualtek Electronics,Regular Running,------,
949,"RackSolutions, Inc","RackSolutions, Inc",Regular Running,,
950,Radiall,Radiall,Regular Running,,
951,Radiall,Radiall_RoHS,Regular Running,------,
952,Raltron Electronics,Raltron Electronics,Regular Running,,Regular Running
953,Rapid Electronics Limited,Rapid Electronics Limited,Regular Running,------,
954,Rectron,Rectron,Regular Running,------,
955,Red Lion Controls,Red Lion Controls,Regular Running,------,
956,Reevite Industrial Mouldings Ltd,Reevite Industrial Mouldings Ltd,Regular Running,------,
957,Regal Electronics,Regal Electronics,Regular Running,------,
958,Reichelt Chemietechnik,Reichelt Chemietechnik,Regular Running,------,
959,Remke Industries,Remke Industries,Regular Running,,
960,Renata SA,Renata SA,Regular Running,Most of parts not found,Regular Running
961,Renco Electronics,Renco Electronics,Regular Running,------,
962,RF COAX INC,RF COAX INC,Regular Running,------,
963,RF Industries,RF Industries_2,Regular Running,Convert to regualr running based LC send,
964,Riegler & Co. KG,Riegler & Co_KG,Regular Running,,
965,"RIGOL Technologies, Inc",RIGOL Technologies_Inc,Regular Running,------,
966,Rockwell Automation,Rockwell Automation_LC,Regular Running,------,
967,ROHDE AG,ROHDE AG,Regular Running,------,
968,Rosenberger Hochfrequenztechnik GmbH & Co. KG,Rosenberger Hochfrequenztechnik GmbH & Co. KG,Regular Running,------,
969,Rotronic AG,Rotronic AG,Regular Running,------,
970,Roxtec International AB,Roxtec International AB,Regular Running,------,
971,Rubsamen & Herr Elektrobau GmbH,Rubsamen & Herr Elektrobau GmbH,Regular Running,------,
972,Rubycon Corporation,Rubycon Corporation,Regular Running,Proxy Issue,
973,"Ruland Manufacturing Co., Inc",Ruland Manufacturing Company,Regular Running,------,
974,S&W Manufacturing,S&W Manufacturing,Regular Running,------,
975,Sabrent Corporation,Sabrent Corporation,Regular Running,------,
976,Safety Label Solutions,Safety Label Solutions,Regular Running,------,
977,Saft,Saft,Regular Running,------,
978,"SAGAMI ELEC CO., LTD",Sagami Elec,Regular Running,------,
979,Saginaw Control & Engineering,Saginaw Control_Engineering,Regular Running,------,
980,Samsung Electronics,Samsung Electronics,Regular Running,,
981,San-tron,San-tron,Regular Running,------,
982,Sanwa Supply Inc,Sanwa Supply Inc,Regular Running,------,
983,SANYO DENKI,SANYO DENKI,Regular Running,------,
984,SchmartBoard,SchmartBoard,Regular Running,------,
985,nVent SCHROFF,Schroff GmbH,Regular Running,------,
986,Schukat electronic Vertriebs GmbH,Schukat electronic Vertriebs GmbH,Regular Running,------,
987,SCHUNK GmbH & Co. KG,SCHUNK GmbH & Co. KG,Regular Running,------,
988,Schurter,Schurter,Regular Running,------,
989,Sealcon,Sealcon,Regular Running,,
990,"Seastrom Manufacturing Co., Inc",Seastrom Manufacturing,Regular Running,Proxy Issue,
991,SEGGER Microcontroller,SEGGER Microcontroller,Regular Running,------,
992,"SEIWA ELECTRIC MFG. CO.,LTD","SEIWA ELECTRIC MFG. CO.,LTD",Regular Running,------,
993,Selco Products,Selco Products,Regular Running,,
994,Semtech Electronics Limited,Semtech Electronics Limited,Regular Running,,
995,Semtech,Semtech_LC,Regular Running,------,
996,Semtech,Semtech_RoHS,Regular Running,------,
997,Sensitron Semiconductor,Sensitron Semiconductor,Regular Running,------,
998,Sensoray,Sensoray,Regular Running,------,
999,SF Cable,SF Cable,Regular Running,,
1000,SFS Group,SFS Group,Regular Running,,
1001,SGX Sensortech,SGX Sensortech,Regular Running,,
1002,Shimadzu Corporation,Shimadzu Corporation,Regular Running,"need Stop,Useless most of parts not found",Regular Running
1003,"Shindengen Electric Manufacturing Co., Ltd",Shindengen_LC,Regular Running,,
1004,Shogyo International,Shogyo International,Regular Running,------,
1005,ShowMeCables,ShowMeCables.com,Regular Running,------,
1006,SHUTTLE INC,SHUTTLE INC,Regular Running,,
1007,SIBA GmbH,SIBA GmbH,Regular Running,------,
1008,Sibalco AG,Sibalco AG,Regular Running,------,
1009,Siemens,Siemens,Regular Running,,
1010,Sigma-Aldrich,Sigma-Aldrich,Regular Running,,
1011,"SIIG, Inc","SIIG, Inc",Regular Running,------,
1012,Silvertel,Silver Telecom,Regular Running,------,
1013,Siretta Ltd,Siretta Ltd,Regular Running,------,
1014,Siskiyou Corporation,Siskiyou Corporation,Regular Running,,
1015,SKANDIX AG,SKANDIX AG,Regular Running,------,
1016,SKF,SKF,Regular Running,------,
1017,Skyworks Solutions,Skyworks Solutions_CoC,Regular Running,------,
1018,Skyworks Solutions,Skyworks Solutions_LC,Regular Running,------,
1019,Smalley Steel Ring Company,Smalley Steel Ring,Regular Running,------,
1020,SMART Modular Technologies,SMART Modular Technologies,Regular Running,------,
1021,SMC Corporation,SMC Corporation,Regular Running,------,
1022,SMK Electronics,SMK Electronics,Regular Running,------,
1023,Snaptron,Snaptron,Regular Running,------,
1024,Soberton,Soberton,Regular Running,------,
1025,"Socay Electronics Corp., Ltd",SOCAY ELECTRONICS Co_LTD,Regular Running,------,
1026,Sodemann Industrifjedre A/S,Sodemann Industrifjedre A_S,Regular Running,,
1027,"Solberg Manufacturing, Inc","Solberg Manufacturing, Inc",Regular Running,------,
1028,Southco,Southco_Scrubbing,Regular Running,------,
1029,Southwest Microwave,Southwest Microwave,Regular Running,Proxy Issue,
1030,SparkFun Electronics,SparkFun Electronics,Regular Running,------,
1031,Sparklan Communications,Sparklan Communications,Regular Running,------,
1032,Spears Manufacturing,Spears Manufacturing,Regular Running,------,
1033,Specialty Cable Corporation,Specialty Cable Corporation,Regular Running,DA-535,
1034,SPIROL International Corporation,SPIROL International Corporation,Regular Running,------,
1035,STAHLWILLE Eduard Wille GmbH & Co. KG,STAHLWILLE Eduard Wille GmbH & Co. KG,Regular Running,,
1036,"Stanley Black & Decker, Inc",Stanley Black & Decker_Inc,Regular Running,,
1037,"Stanley Electric Co., Ltd",Stanley Electric,Regular Running,,
1038,Stat-X Austria GmbH,Stat-X Austria GmbH,Regular Running,------,
1039,Stauff Corporation,Stauff Corporation,Regular Running,------,
1040,Stimpson,Stimpson,Regular Running,------,
1041,Stock Drive Products / Sterling Instrument,Stock Drive Products_Sterling Instrument,Regular Running,,
1042,StockCap,StockCap,Regular Running,------,
1043,STOCKO CONTACT GmbH & Co. KG,STOCKO CONTACT GmbH & Co_KG,Regular Running,------,
1044,Struthers-Dunn,Struthers-Dunn,Regular Running,------,
1045,"Sugatsune Kogyo Co., Ltd",Sugatsune Kogyo Co_Ltd,Regular Running,------,
1046,Sullins Connector Solutions,Sullins,Regular Running,------,
1047,Sun Electronic Industries,Sun Electronic Industries,Regular Running,------,
1048,SunLED Company Limited,Sun LED,Regular Running,------,
1049,"Suncor Stainless, Inc","Suncor Stainless, Inc",Regular Running,Proxy Issue,
1050,"Sunonwealth Electric Machine Industry Co., Ltd",Sunonwealth Electric Machine Industry Co_Ltd,Regular Running,,
1051,"Sunrich Technology (U.S.), Inc","Sunrich Technology (U.S.), Inc",Regular Running,------,
1052,Super Bright LEDs,Super Bright LEDs,Regular Running,------,
1053,"Super micro Computer, Inc",Super micro Computer_Inc_2,Regular Running,,
1054,Superior Washer & Gasket,Superior Washer & Gasket,Regular Running,------,
1055,Superworld Electronics (S) Pte Ltd,SUPERWORLD HOLDINGS (S) PTE LTD,Regular Running,,
1056,Swagelok Company,Swagelok Company,Regular Running,------,
1057,Swissbit,Swissbit,Regular Running,-----,
1058,Switchcraft,Switchcraft,Regular Running,,
1059,Symmco Incorporated,Symmco Incorporated,Regular Running,SW Issue,
1060,Taitron Components,Taitron Components,Regular Running,------,
1061,Taiwan King Pin Terminal,Taiwan King Pin Terminal,Regular Running,------,
1062,Taiyo Yuden,Taiyo Yuden_Env,Regular Running,------,
1063,"Tak Cheong Electronics (Holdings) Co.,Ltd",Tak Cheong Electronics (Holdings) Co_Ltd,Regular Running,Waiting Time,
1064,TAKIGEN,TAKIGEN,Regular Running,------,
1065,TAMURA Corporation,TAMURA Corporation,Regular Running,------,
1066,taoglas,taoglas,Regular Running,------,
1067,TDK-Lambda,TDK-Lambda Americas_Rohs,Regular Running,------,
1068,Tecate Group,Tecate Group,Regular Running,------,
1069,TechSpray,Tech Spray,Regular Running,------,
1070,Techcon Systems,Techcon Systems,Regular Running,------,
1071,"Techflex, Inc","Techflex, Inc",Regular Running,,Regular Running
1072,TechNexion,TechNexion,Regular Running,,
1073,Techni-Tool,Techni-Tool,Regular Running,,
1074,"Tektronix, Inc",Tektronix_2,Regular Running,------,
1075,Telegaertner Karl Gaertner GmbH,Telegartner,Regular Running,------,
1076,Tensility International,Tensility International,Regular Running,,
1077,Terasic Inc,Terasic Inc,Regular Running,------,
1078,Terra Universal,Terra Universal,Regular Running,------,
1079,tesa SE,tesa SE,Regular Running,------,
1080,Textron Inc,Textron Inc,Regular Running,------,
1081,Texwipe,Texwipe,Regular Running,------,
1082,The Best Connection,The Best Connection,Regular Running,------,
1083,The COMET Group,The COMET Group,Regular Running,------,
1084,The L.S. Starrett Company,The L.S. Starrett Company,Regular Running,,
1085,"The O-Ring Store, LLC","The O-Ring Store, LLC",Regular Running,------,
1086,The Zippertubing Company,The Zippertubing Company,Regular Running,,
1087,Theo Forch GmbH & Co. KG,Theo Forch GmbH & Co. KG,Regular Running,------,
1088,Thermo Fisher Scientific Inc,Thermo Fisher Scientific,Regular Running,------,
1089,THine Electronics,THine Electronics,Regular Running,------,
1090,"Thomson Industries, Inc","Thomson Industries, Inc",Regular Running,------,
1091,Thorlabs,Thorlabs,Regular Running,------,
1092,Toby Electronics,Toby Electronics,Regular Running,------,
1093,TOCHIGIYA,TOCHIGIYA,Regular Running,------,
1094,Tom Parker,Tom Parker,Regular Running,------,
1095,TR Fastenings,TR Fastenings,Regular Running,,
1096,Transcend Information,Transcend Information,Regular Running,,
1097,Transducer Techniques Inc,Transducer Techniques Inc,Regular Running,,
1098,TRENDnet,TRENDnet,Regular Running,------,
1099,Triplett,Triplett,Regular Running,------,
1100,TTM Technologies Inc,TTM Technologies,Regular Running,------,
1101,Turck,Turck,Regular Running,------,
1102,TXGA Industrial Electronic,TXGA Industrial Electronic,Regular Running,------,
1103,"UC Components, Inc",UC COMPONENTS,Regular Running,------,
1104,Uline,Uline Shipping Supplies,Regular Running,------,
1105,"Ultra Clean Holdings, Inc",Ultra Clean Holdings_Inc,Regular Running,------,
1106,Unistrut,Unistrut,Regular Running,,
1107,United Monolithic Semiconductors,United Monolithic Semiconductors,Regular Running,,
1108,United States Plastic Corporation,United States Plastic Corporation,Regular Running,,
1109,USBFireWire.com,USBFireWire.com,Regular Running,------,
1110,VACOM Vakuum Komponenten & Messtechnik GmbH,VACOM Vakuum Komponenten & Messtechnik GmbH,Regular Running,------,
1111,Valco Instruments Co. Inc,Valco Instruments Co. Inc,Regular Running,------,
1112,VANEL SARL,VANEL SARL,Regular Running,------,
1113,VAT Vakuumventile AG,VAT Vakuumventile AG,Regular Running,------,
1114,"Visual Communications Company, LLC",VCC (Visual Communications Company),Regular Running,------,
1115,Vector Electronics & Technology,Vector Electronics & Technology,Regular Running,------,
1116,Vicor,Vicor,Regular Running,------,
1117,Videk Ltd,Videk Ltd,Regular Running,------,
1118,Video Products,Video Products,Regular Running,------,
1119,Viega Holding GmbH & Co. KG,Viega Holding GmbH & Co. KG,Regular Running,------,
1120,VIEWEG GmbH,VIEWEG GmbH,Regular Running,,
1121,Vigortronix,Vigortronix,Regular Running,------,
1122,Viking Tech Corporation,Viking Tech Corporation,Regular Running,------,
1123,Vincotech,Vincotech,Regular Running,Useless,
1124,Visaton,Visaton,Regular Running,------,
1125,VPT Components,VPT Components,Regular Running,------,
1126,"W.W. Grainger, Inc",W.W. Grainger,Regular Running,,
1127,WAGO GmbH & Co. KG,WAGO Kontakttechnik GmbH_RoHS,Regular Running,------,
1128,"Wakefield Thermal, Inc","Wakefield-Vette, Inc",Regular Running,------,
1129,Wall Industries,Wall Industries,Regular Running,------,
1130,"Wavelength Electronics, Inc",Wavelength Electronics_Inc,Regular Running,------,
1131,"Wayon Electronics Co.,Ltd",Wayon Electronics Co_Ltd,Regular Running,,
1132,WeEn Semiconductors,WeEn Semiconductors,Regular Running,------,
1133,WEG Corporation,WEG Corporation,Regular Running,Waiting Time,
1134,Weico Wire & Cable,Weico Wire & Cable,Regular Running,,
1135,"WELI SHENG TERMINAL INDUSTRIAL CO.,LTD","WELI SHENG TERMINAL INDUSTRIAL CO.,LTD",Regular Running,------,
1136,Wentronic GmbH,Wentronic GmbH,Regular Running,------,
1137,Wera Werkzeuge GmbH,Wera Werkzeuge GmbH,Regular Running,------,
1138,WERMA Signaltechnik GmbH + Co.KG,WERMA Signaltechnik GmbH + Co.KG,Regular Running,Proxy Issue,
1139,WCL Company,West Coast Lockwashers,Regular Running,------,
1140,Western Filament,Western Filament,Regular Running,------,
1141,Wieland Electric GmbH,Wieland Electric,Regular Running,------,
1142,Wiesemann & Theis GmbH,Wiesemann & Theis GmbH,Regular Running,------,
1143,Wiha Tools USA,Wiha Tools USA,Regular Running,------,
1144,WILTSCHE GmbH & CO. KG,WILTSCHE GmbH & CO. KG,Regular Running,,
1145,WIMA,WIMA_LC,Regular Running,Proxy issue,
1146,Winslow ADAPTICs,Winslow ADAPTICs,Regular Running,------,
1147,WISKA Hoppmann GmbH,WISKA Hoppmann GmbH,Regular Running,Site Unstable,
1148,Woehner GmbH & Co. KG,Woehner GmbH & Co. KG,Regular Running,,
1149,Wolfgang Warmbier GmbH & Co. KG,Wolfgang Warmbier GmbH & Co. KG,Regular Running,------,
1150,"WOLFSPEED, INC",Wolfspeed,Regular Running,------,
1151,Wuerth Elektronik GmbH & Co. KG,Wurth Elektronik Group,Regular Running,-----,
1152,Wurth UK Ltd,Wurth UK Ltd,Regular Running,------,
1153,XFMRS,XFMRS,Pending Data Team,Site Updates need new simulation,Regular Running
1154,"Xmultiple Technologies, Inc",XMultiple Technologies,Regular Running,------,
1155,XP Power,XP Power,Regular Running,------,
1156,Yageo,Yageo_LC,Regular Running,------,
1157,"Yangzhou Yangjie Electronic Technology Co., Ltd",Yangzhou Yangjie Electronic Technology Co_Ltd,Regular Running,,
1158,YASKAWA Electric Corporation,YASKAWA Electric Corporation,Regular Running,------,
1159,"YENYO Technology Co., Ltd",YENYO Technology Co_Ltd,Regular Running,------,
1160,YSI Incorporated,YSI Incorporated,Regular Running,------,
1161,Yuasa Battery,Yuasa Battery,Regular Running,------,
1162,"Z3 Technology, LLC","Z3 Technology, LLC",Regular Running,------,
1163,ZenithTek Inc,ZenithTek Inc,Regular Running,------,
1164,Zierick Manufacturing Corporation,Zierick Manufacturing,Regular Running,Proxy Issue,
1165,ZOWIE Technology,ZOWIE Technology,Regular Running,------,
1166,Zultner,Zultner,Regular Running,------,
1167,"Phidgets, Inc",Phidgets_Inc,Regular Running,,
1168,TEWS Technologies,TEWS Technologies,Regular Running,,
1169,Eaton,Eaton,Run By Request,Proxy issue,
1170,CRAFTICS,CRAFTICS,Regular Running,-,
1171,KEYENCE CORPORATION,Keyence,Regular Running,Site Issue,
1172,Legrand,Legrand,Pending Data Team,,Regular Running
1173,Mercury Systems,Mercury Systems,Regular Running,,
1174,Vogt AG Verbindungstechnik,Vogt AG Verbindungstechnik,Regular Running,,
1175,"KITAGAWA INDUSTRIES CO.,LTD",KITAGAWA INDUSTRIES,Regular Running,,
1176,CISSOID S.A,CISSOID S_A,Regular Running,,
1177,Lauterbach Datentechnik GmbH,Lauterbach Datentechnik GmbH,Regular Running,,
1178,"Vybronics, Inc","Vybronics, Inc",Regular Running,,
1179,ICY DOCK,ICY DOCK,Regular Running,,
1180,Broadcom Inc,Broadcom Inc,Regular Running,,
1181,"Rexnord Industries, LLC",Rexnord Industries_LLC,Regular Running,,
1182,"Taiwan Chinsan Electronic Industrial Co., Ltd",Taiwan Chinsan Electronic Industrial Co_Ltd,Regular Running,,
1183,ETI Elektroelement d.o.o.,ETI Elektroelement,Regular Running,,
1184,Narda-MITEQ,Narda-MITEQ,Regular Running,,
1185,FCL COMPONENTS LIMITED,FCL COMPONENTS LIMITED,Regular Running,,
1186,Digitron Semiconductors,Digitron Semiconductors,Regular Running,,
1187,"ALPS ALPINE CO., LTD",ALPS ALPINE CO_LTD,Regular Running,,
1188,Macronix International,Macronix International,Regular Running,,
1189,SG Micro Corp,SG Micro Corp,Regular Running,,
1190,Amphenol Cables on Demand,Amphenol Cables on Demand,Regular Running,,
1191,Cinch Connectivity Solutions,Cinch Connectors_LC,Regular Running,,
1192,Ezurio,Ezurio,Regular Running,,
1193,Amphenol Air LB France,Amphenol Air LB France,Regular Running,,
1194,Skyworks Solutions,Skyworks Solutions_lookup,Regular Running,,
1195,National Guard Products,National Guard Products,Regular Running,,
1196,STMicroelectronics,STMicroelectronics_2,Regular Running,,
1197,Koninklijke Philips N.V.,Koninklijke Philips,Regular running,,
1198,ADT-Link,ADT-Link,Regular running,,
1199,Lexmark International,Lexmark International,Regular running,,
1200,Gateworks Corporation,Gateworks Corporation,Regular running,,
1201,Grid Connect Inc,Grid Connect Inc,Regular running,,
1202,pSemi Corporation,Peregrine Semiconductor_LC,Regular Running,,
1203,NXP Semiconductors,NXP Semiconductors_Chemical,Run by links,,
1204,Micron Technology,Micron Technology_2,Run by request,,
1205,Panasonic,Panasonic_2,Run by request,,
1206,onsemi,ON Semiconductor_LC,Run by request,,
1207,KYOCERA AVX Components Corporation,KYOCERA AVX Components Corporation,Run by request,,
1208,Amphenol SV Microwave,SV Microwave,Run By Request,,
1209,Micron Technology,Micron Technology,Run by request,,
1210,Festo AG & Co. KG,Festo AG & Co. KG_2,Run By Request,,
1211,Allegro MicroSystems,Allegro MicroSystems,Run by request,,
1212,Murata Manufacturing,Murata Manufacturing,Run by request,,
1213,Danfoss,Danfoss Incorporated,Run By Request,------,
1214,"ABB Installation Products, Inc",ABB2,Run by request,,
1215,Renesas Electronics,Integrated Device Technology_CrossReference,Run by request,------,
1216,Tekmos,Tekmos_CrossReference,Run by request,run any part to get all data for module,
1217,Traco Power,TRACO Electronic AG,Run By Request,-----,Run By Request
1218,"ABB Installation Products, Inc",ABB Installation Products_Inc_CrossReference,Run by request,,
1219,Abbatron,Abbatron_CrossReference,Run by request,------,
1220,Abracon,Abracon_2,Run by request,-----,Run by request
1221,Acrosser Technology,Acrosser Technology,Run by request,------,
1222,"Acuity Brands Lighting, Inc",Acuity Brands Lighting_Inc,Run By Request,------,
1223,Advanced Thermal Solutions,Advanced Thermal Solutions_Links,Run by request,------,
1224,"AEM, Inc",AEM_Inc_Links,Run by request,------,
1225,American Power Devices,American Power Devices,Run by request,------,
1226,"American Zettler, Inc",American Zettler_CrossReference,Run by request,------,
1227,Amphenol,Amphenol Aerospace,Run by request,SW Issue,
1228,Amphenol,Amphenol_Pel-Genesis,Run By Request,Proxy issue,
1229,Arizona Microtek,Arizona Microtek,Run By Request,------,
1230,AS ONE Corporation,AS ONE Corporation,Run by request,------,
1231,Bel Fuse Inc,BEL Group_inv,Run by request,------,
1232,Bosch,Bosch_Main,Run By Request,,
1233,Bourns,Bourns,Run By Request,------,
1234,Bourns,Bourns_CrossReference,Run by request,------,
1235,Brady Corporation,Brady Corporation_2,Run By Request,------,
1236,Bytec Group Limited,Bytec Group Limited,Run by request,------,
1237,C&K,C&K Components_CrossReference,Run by request,------,
1238,Coast Advanced Chip Magnetics,Coast Advanced Chip Magnetics_Link,Run by request,------,
